model,task_id,suite_split,construction_split,hard3,lift_type,feature_family,entanglement_primary,entanglement_level,has_run_json,has_result_json,submission_file_count,usable_submission,functional_pass,first_failure_stage,run_status,freeze_id,agent_docker_image,eval_docker_image,build_pass,public_pass,hidden_pass,isolation_pass,rres,extraction_ratio,copied_fraction,copied_loc,submitted_loc,reference_loc,compactness_class,artifact_fail,process_tve,process_invalid_encrypted,process_timeout,process_promoted_process,process_context_violation,process_usage_unverified,process_usage_source,process_api_calls,process_assistant_steps,process_prompt_tokens,process_completion_tokens,process_total_tokens,process_effective_uncached_prompt_tokens,process_incremental_tokens,process_prompt_cache_accounting,process_duration_seconds,process_detail,process_flags
deepseek-v4-pro,xmltodict__xml_parse_core__001,python150,core100,False,Direct,serialize_format_render,parser_state_coupling,high,True,True,3,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.607774,0.607774,0.718023,247,344,566,functional_mixed_footprint,False,True,False,False,False,False,False,usage.json,30,28,1625707,37975,1663682,47723,85698,True,490.555146,"Error validating tool 'file_editor': Failed to provide security_risk field in tool 'file_editor'. Parameters provided: ['command', 'path', 'old_str', 'new_str']","[""tool_validation_error"", ""tve""]"
deepseek-v4-pro,yamale__schema_validate_core__hard3_001,python150,hard50,True,Adapted,validate_normalize_construct,data_model_coupling,high,True,True,15,True,False,public_failure,failed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,False,False,True,5.256757,5.256757,0.894602,696,778,148,non_functional,True,False,False,False,False,True,False,usage.json,79,80,5695190,80032,5775222,145494,225526,True,1144.893878,passed,[]
deepseek-v4-pro,yarl__url_model_core__001,python150,core100,False,Adapted,parse_tokenize_decode,parser_state_coupling,high,True,True,9,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.996124,0.996124,0.995553,1791,1799,1806,copy_heavy_pass,False,False,False,False,False,False,False,usage.json,43,42,1956330,19735,1976065,53226,72961,True,323.018302,passed,[]
deepseek-v4-flash,aiohttp__url_params_core__hard3_001,python150,hard50,True,Adapted,validate_normalize_construct,data_model_coupling,high,True,True,4,True,False,hidden_failure,failed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,False,True,4.185714,4.185714,0.0,0,293,70,non_functional,True,True,False,False,False,True,False,usage.json,77,79,5549366,94714,5644080,146614,241328,True,786.631634,"Error validating tool 'terminal': Failed to provide security_risk field in tool 'terminal'. Parameters provided: ['command', 'security_rule', 'summary']","[""tool_validation_error"", ""tve""]"
deepseek-v4-flash,alembic__revision_map_core__hard3_001,python150,hard50,True,Adapted,algorithm_data_structure,data_model_coupling,high,True,True,1,True,False,public_failure,failed,0b106842710368a497b49b7f6714e0dfea54778d1fb2dae38c93ea449b339542,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,False,False,True,6.801843,6.801843,0.815718,1204,1476,217,non_functional,True,True,False,False,False,True,False,usage.json,121,116,9889107,120693,10009800,152403,273096,True,976.443044,"Error validating tool 'terminal': Failed to provide security_risk field in tool 'terminal'. Parameters provided: ['command', 'security_rule', 'summary']","[""tool_validation_error"", ""tve""]"
deepseek-v4-flash,apscheduler__cron_trigger_core__hard3_001,python150,hard50,True,Adapted,protocol_state_transition,parser_state_coupling,high,True,True,8,True,True,functional_pass,failed,0b106842710368a497b49b7f6714e0dfea54778d1fb2dae38c93ea449b339542,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,8.983051,8.983051,0.573585,304,530,59,copy_heavy_pass,False,True,False,False,False,True,False,usage.json,125,123,10247393,154550,10401943,244321,398871,True,1393.069568,"Error validating tool 'terminal': Failed to provide security_risk field in tool 'terminal'. Parameters provided: ['command', 'security_rule', 'summary']","[""tool_validation_error"", ""tve""]"
deepseek-v4-flash,arrow__parse_format_core__001,python150,core100,False,Adapted,parse_tokenize_decode,parser_state_coupling,high,True,True,9,True,True,functional_pass,passed,0b106842710368a497b49b7f6714e0dfea54778d1fb2dae38c93ea449b339542,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.898846,0.898846,0.988293,2617,2648,2946,copy_heavy_pass,False,False,False,False,False,True,False,usage.json,90,89,7569496,55486,7624982,81880,137366,True,554.040292,passed,[]
deepseek-v4-flash,astroid__nodes_core__001,python150,core100,False,Adapted,parse_tokenize_decode,data_model_coupling,high,True,True,48,True,True,functional_pass,failed,0b106842710368a497b49b7f6714e0dfea54778d1fb2dae38c93ea449b339542,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,1.068676,1.068676,0.963382,17180,17833,16687,copy_heavy_pass,False,True,False,False,False,False,False,usage.json,109,108,7186880,54855,7241735,65472,120327,True,556.17423,"Error validating tool 'terminal': Failed to provide security_risk field in tool 'terminal'. Parameters provided: ['command', 'security_rule', 'summary']","[""tool_validation_error"", ""tve""]"
deepseek-v4-flash,attrs__validators_core__001,python150,core100,False,Direct,validate_normalize_construct,data_model_coupling,high,True,True,11,True,True,functional_pass,failed,0b106842710368a497b49b7f6714e0dfea54778d1fb2dae38c93ea449b339542,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.98493,0.98493,0.997147,3845,3856,3915,copy_heavy_pass,False,True,False,False,False,False,False,usage.json,64,62,3961937,44588,4006525,60753,105341,True,392.306631,"Error validating tool 'terminal': Failed to provide security_risk field in tool 'terminal'. Parameters provided: ['command', 'security_rule', 'summary']","[""tool_validation_error"", ""tve""]"
deepseek-v4-flash,babel__plural_core__001,python150,core100,False,Adapted,cache_retry_policy,third_party_dependency_coupling,high,True,True,18,True,True,functional_pass,failed,0b106842710368a497b49b7f6714e0dfea54778d1fb2dae38c93ea449b339542,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.991965,0.991965,0.980685,1574,1605,1618,copy_heavy_pass,False,True,False,False,False,True,False,usage.json,83,85,6657617,90018,6747635,137553,227571,True,757.340824,"Error validating tool 'terminal': Failed to provide security_risk field in tool 'terminal'. Parameters provided: ['command', 'security_rule', 'summary']","[""tool_validation_error"", ""tve""]"
deepseek-v4-flash,bidict__bidirectional_map_core__001,python150,core100,False,Direct,algorithm_data_structure,data_model_coupling,high,True,True,12,True,True,functional_pass,failed,0b106842710368a497b49b7f6714e0dfea54778d1fb2dae38c93ea449b339542,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.998102,0.998102,0.989544,1041,1052,1054,copy_heavy_pass,False,True,False,False,False,False,False,usage.json,40,41,2465162,32264,2497426,65418,97682,True,250.783353,"Error validating tool 'file_editor': 1 validation error for FileEditorAction
create
  Extra inputs are not permitted [type=extra_forbidden, input_value='true', input_type=str]
    For further information visit https://errors.pydantic.dev/2.","[""tool_validation_error"", ""tve""]"
deepseek-v4-flash,bleach__sanitize_core__001,python150,core100,False,Adapted,validate_normalize_construct,parser_state_coupling,high,True,True,37,True,False,hidden_failure,failed,0b106842710368a497b49b7f6714e0dfea54778d1fb2dae38c93ea449b339542,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,False,True,0.896831,0.896831,0.990089,12187,12309,13725,non_functional,True,True,False,False,False,False,False,usage.json,56,54,3513887,46942,3560829,54175,101117,True,390.768469,"Error validating tool 'terminal': Failed to provide security_risk field in tool 'terminal'. Parameters provided: ['command', 'security_rank', 'summary']","[""tool_validation_error"", ""tve""]"
deepseek-v4-flash,blinker__signal_registry_core__001,python150,core100,False,Direct,registry_plugin_dispatch,framework_coupling,high,True,True,4,True,True,functional_pass,failed,0b106842710368a497b49b7f6714e0dfea54778d1fb2dae38c93ea449b339542,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,18.411765,18.411765,0.916933,574,626,34,copy_heavy_pass,False,True,False,False,False,False,False,usage.json,46,44,2302467,38674,2341141,41987,80661,True,309.157637,"Error validating tool 'terminal': Failed to provide security_risk field in tool 'terminal'. Parameters provided: ['command', 'security_rule', 'summary']","[""tool_validation_error"", ""tve""]"
deepseek-v4-flash,boltons__iterutils_core__001,python150,core100,False,Adapted,algorithm_data_structure,data_model_coupling,high,True,True,2,True,True,functional_pass,failed,0b106842710368a497b49b7f6714e0dfea54778d1fb2dae38c93ea449b339542,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.549194,0.549194,0.941263,641,681,1240,copy_heavy_pass,False,True,False,False,False,False,False,usage.json,51,48,3022090,44725,3066815,67594,112319,True,331.816656,"Error validating tool 'terminal': 1 validation error for TerminalAction
security_rank
  Extra inputs are not permitted [type=extra_forbidden, input_value='LOW', input_type=str]
    For further information visit https://errors.pydantic.dev/2","[""tool_validation_error"", ""tve""]"
deepseek-v4-flash,build__pyproject_backend_core__hard3_001,python150,hard50,True,Adapted,validate_normalize_construct,data_model_coupling,high,True,True,3,True,False,public_failure,failed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,False,True,True,2.673469,2.673469,0.473282,62,131,49,non_functional,True,True,False,False,False,False,False,usage.json,46,47,2148216,35639,2183855,47224,82863,True,288.495443,"Error validating tool 'terminal': Failed to provide security_risk field in tool 'terminal'. Parameters provided: ['command', 'security_rule', 'summary']","[""tool_validation_error"", ""tve""]"
deepseek-v4-flash,cachetools__cache_eviction_core__001,python150,core100,False,Direct,cache_retry_policy,data_model_coupling,high,True,True,3,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.767898,0.767898,0.977444,650,665,866,copy_heavy_pass,False,False,False,False,False,False,False,usage.json,40,39,1945459,26718,1972177,55155,81873,True,227.614392,passed,[]
deepseek-v4-flash,cattrs__structure_core__001,python150,core100,False,Direct,serialize_format_render,data_model_coupling,high,True,True,15,True,True,functional_pass,failed,0b106842710368a497b49b7f6714e0dfea54778d1fb2dae38c93ea449b339542,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,1.009402,1.009402,0.995675,2993,3006,2978,copy_heavy_pass,False,True,False,False,False,True,False,usage.json,110,107,8581193,56863,8638056,79689,136552,True,1206.953638,"Error validating tool 'terminal': Failed to provide security_risk field in tool 'terminal'. Parameters provided: ['command', 'security_rule', 'summary']","[""tool_validation_error"", ""tve""]"
deepseek-v4-flash,celery__signal_dispatch_core__hard3_001,python150,hard50,True,Adapted,registry_plugin_dispatch,framework_coupling,high,True,True,1,True,False,public_failure,failed,0b106842710368a497b49b7f6714e0dfea54778d1fb2dae38c93ea449b339542,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,False,False,True,3.119403,3.119403,0.545455,114,209,67,non_functional,True,True,False,False,False,False,False,usage.json,44,43,2223256,51384,2274640,37144,88528,True,408.536127,"Error validating tool 'terminal': Failed to provide security_risk field in tool 'terminal'. Parameters provided: ['command', 'security_rule', 'summary']","[""tool_validation_error"", ""tve""]"
deepseek-v4-flash,cerberus__schema_validate_core__001,python150,core100,False,Direct,validate_normalize_construct,data_model_coupling,high,True,True,6,True,True,functional_pass,failed,0b106842710368a497b49b7f6714e0dfea54778d1fb2dae38c93ea449b339542,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,1.001961,1.001961,0.960078,2453,2555,2550,copy_heavy_pass,False,True,False,False,False,True,False,usage.json,65,63,5237206,55036,5292242,75990,131026,True,493.340007,Error validating tool 'terminal': Expecting value: line 1 column 194 (char 193). Arguments: unparseable JSON,"[""tool_validation_error"", ""tve""]"
deepseek-v4-flash,chameleon__template_compile_core__001,python150,core100,False,Adapted,serialize_format_render,parser_state_coupling,high,True,True,22,True,True,functional_pass,failed,0b106842710368a497b49b7f6714e0dfea54778d1fb2dae38c93ea449b339542,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.951763,0.951763,0.965252,5028,5209,5473,copy_heavy_pass,False,True,False,False,False,True,False,usage.json,98,94,7992489,52144,8044633,85929,138073,True,517.69422,"Error validating tool 'terminal': 1 validation error for TerminalAction
security_rule
  Extra inputs are not permitted [type=extra_forbidden, input_value='', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13","[""tool_validation_error"", ""tve""]"
deepseek-v4-flash,click__lazy_command_core__hard3_001,python150,hard50,True,Adapted,registry_plugin_dispatch,framework_coupling,high,True,True,3,True,False,public_failure,failed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,False,False,True,7.25,7.25,0.357964,218,609,84,non_functional,True,True,False,False,False,True,False,usage.json,105,101,8682826,128308,8811134,141002,269310,True,1069.38387,"Error validating tool 'terminal': Failed to provide security_risk field in tool 'terminal'. Parameters provided: ['command', 'security_rule', 'summary']","[""tool_validation_error"", ""tve""]"
deepseek-v4-flash,click__option_parser__001,python150,core100,False,Adapted,parse_tokenize_decode,framework_coupling,high,True,True,17,True,True,functional_pass,failed,0b106842710368a497b49b7f6714e0dfea54778d1fb2dae38c93ea449b339542,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,1.00013,1.00013,0.998829,7675,7684,7683,copy_heavy_pass,False,True,False,False,False,False,False,usage.json,66,64,2807006,37318,2844324,40798,78116,True,414.597067,"Error validating tool 'terminal': Failed to provide security_risk field in tool 'terminal'. Parameters provided: ['command', 'security_style']","[""tool_validation_error"", ""tve""]"
deepseek-v4-flash,configobj__roundtrip_config_core__001,python150,core100,False,Direct,config_resolve_discover,config_environment_coupling,high,True,True,3,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.991071,0.991071,0.998665,2993,2997,3024,copy_heavy_pass,False,True,False,False,False,False,False,usage.json,69,68,3972446,31800,4004246,66398,98198,True,294.905337,"Error validating tool 'terminal': 1 validation error for TerminalAction
security_rule
  Extra inputs are not permitted [type=extra_forbidden, input_value='LOW', input_type=str]
    For further information visit https://errors.pydantic.dev/2","[""tool_validation_error"", ""tve""]"
deepseek-v4-flash,cookiecutter__repo_finder_core__hard3_001,python150,hard50,True,Composite,config_resolve_discover,resource_coupling,high,True,True,4,True,False,public_failure,failed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,False,False,True,2.213483,2.213483,0.13198,26,197,89,non_functional,True,True,False,False,False,False,False,usage.json,50,47,2949346,66870,3016216,45666,112536,True,527.161336,"Error validating tool 'file_editor': Failed to provide security_risk field in tool 'file_editor'. Parameters provided: ['command', 'path', 'old_str', 'new_str']","[""tool_validation_error"", ""tve""]"
deepseek-v4-flash,coverage__config_merge_core__001,python150,core100,False,Adapted,config_resolve_discover,config_environment_coupling,high,True,True,6,True,True,functional_pass,failed,0b106842710368a497b49b7f6714e0dfea54778d1fb2dae38c93ea449b339542,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.803604,0.803604,0.873318,779,892,1110,copy_heavy_pass,False,True,False,False,False,True,False,usage.json,104,99,7560524,82996,7643520,152012,235008,True,654.39233,"Error validating tool 'terminal': Failed to provide security_risk field in tool 'terminal'. Parameters provided: ['command', 'security_rule', 'summary']","[""tool_validation_error"", ""tve""]"
deepseek-v4-flash,coverage__glob_matcher_core__001,python150,core100,False,Direct,config_resolve_discover,resource_coupling,high,True,True,3,True,True,functional_pass,failed,0b106842710368a497b49b7f6714e0dfea54778d1fb2dae38c93ea449b339542,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.221339,0.221339,0.641026,125,195,881,compact_pass,False,True,False,False,False,False,False,usage.json,40,37,1409122,26099,1435221,39266,65365,True,206.827286,"Error validating tool 'terminal': 1 validation error for TerminalAction
security_rule
  Extra inputs are not permitted [type=extra_forbidden, input_value='', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13","[""tool_validation_error"", ""tve""]"
deepseek-v4-flash,coverage__path_remap_core__001,python150,core100,False,Adapted,config_resolve_discover,resource_coupling,high,True,True,5,True,True,functional_pass,failed,0b106842710368a497b49b7f6714e0dfea54778d1fb2dae38c93ea449b339542,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.406356,0.406356,0.930168,333,358,881,copy_heavy_pass,False,True,False,False,False,False,False,usage.json,44,41,1980223,37117,2017340,38975,76092,True,296.368661,"Error validating tool 'terminal': Failed to provide security_risk field in tool 'terminal'. Parameters provided: ['command', 'security_rule', 'summary']","[""tool_validation_error"", ""tve""]"
deepseek-v4-flash,coverage__report_core__001,python150,core100,False,Adapted,serialize_format_render,config_environment_coupling,high,True,True,11,True,True,functional_pass,failed,0b106842710368a497b49b7f6714e0dfea54778d1fb2dae38c93ea449b339542,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.495316,0.495316,0.839243,1065,1269,2562,copy_heavy_pass,False,True,False,False,False,True,False,usage.json,103,100,8102360,104225,8206585,159832,264057,True,796.98941,"Error validating tool 'terminal': Failed to provide security_risk field in tool 'terminal'. Parameters provided: ['command', 'security_rule', 'summary']","[""tool_validation_error"", ""tve""]"
deepseek-v4-flash,coverage__source_selection_core__001,python150,core100,False,Adapted,config_resolve_discover,config_environment_coupling,high,True,True,7,True,True,functional_pass,failed,0b106842710368a497b49b7f6714e0dfea54778d1fb2dae38c93ea449b339542,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.265155,0.265155,0.836431,450,538,2029,copy_heavy_pass,False,True,False,False,False,True,False,usage.json,75,72,5220570,78730,5299300,57562,136292,True,624.297765,"Error validating tool 'terminal': 1 validation error for TerminalAction
security_rule
  Extra inputs are not permitted [type=extra_forbidden, input_value='LOW', input_type=str]
    For further information visit https://errors.pydantic.dev/2","[""tool_validation_error"", ""tve""]"
deepseek-v4-flash,croniter__cron_parse_core__001,python150,core100,False,Direct,protocol_state_transition,parser_state_coupling,high,True,True,2,True,True,functional_pass,failed,0b106842710368a497b49b7f6714e0dfea54778d1fb2dae38c93ea449b339542,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.926797,0.926797,0.961918,682,709,765,copy_heavy_pass,False,True,False,False,False,False,False,usage.json,74,73,5232164,42208,5274372,81828,124036,True,363.388347,"Error validating tool 'file_editor': 1 validation error for FileEditorAction
security_rank
  Extra inputs are not permitted [type=extra_forbidden, input_value='LOW', input_type=str]
    For further information visit https://errors.pydantic.","[""tool_validation_error"", ""tve""]"
deepseek-v4-flash,dataclasses_json__serde_core__001,python150,core100,False,Direct,serialize_format_render,data_model_coupling,high,True,True,7,True,True,functional_pass,failed,0b106842710368a497b49b7f6714e0dfea54778d1fb2dae38c93ea449b339542,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.894477,0.894477,0.93495,848,907,1014,copy_heavy_pass,False,True,False,False,False,True,False,usage.json,84,80,6989162,87432,7076594,184042,271474,True,993.79633,"Error validating tool 'terminal': 1 validation error for TerminalAction
security_rule
  Extra inputs are not permitted [type=extra_forbidden, input_value='', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13","[""tool_validation_error"", ""tve""]"
deepseek-v4-flash,dateutil__zone_resolver_core__hard3_001,python150,hard50,True,Composite,resource_metadata_loading,resource_coupling,high,True,True,1,True,False,hidden_failure,failed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,False,True,2.537313,2.537313,0.0,0,170,67,non_functional,True,True,False,False,False,True,False,usage.json,71,67,5492099,88551,5580650,52483,141034,True,687.794849,"Error validating tool 'task_tracker': 1 validation error for TaskTrackerAction
task_list.2.status
  Input should be 'todo', 'in_progress' or 'done' [type=literal_error, input_value='pending', input_type=str]
    For further information visi","[""tool_validation_error"", ""tve""]"
deepseek-v4-flash,decorator__signature_preserving_core__001,python150,core100,False,Direct,workflow_session_orchestration,data_model_coupling,high,True,True,1,True,False,public_failure,failed,0b106842710368a497b49b7f6714e0dfea54778d1fb2dae38c93ea449b339542,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,False,True,True,6.529412,6.529412,0.540541,60,111,17,non_functional,True,True,False,False,False,False,False,usage.json,48,45,2843895,54509,2898404,48503,103012,True,393.598475,"Error validating tool 'terminal': 1 validation error for TerminalAction
security_style
  Extra inputs are not permitted [type=extra_forbidden, input_value='LOW', input_type=str]
    For further information visit https://errors.pydantic.dev/","[""tool_validation_error"", ""tve""]"
deepseek-v4-flash,deepdiff__deep_compare_core__001,python150,core100,False,Direct,algorithm_data_structure,data_model_coupling,high,True,True,17,True,True,functional_pass,failed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.887481,0.887481,0.96636,6090,6302,7101,copy_heavy_pass,False,True,False,False,True,True,False,usage.json,130,126,10787492,76901,10864393,158628,235529,True,739.854225,"Error validating tool 'terminal': Failed to provide security_risk field in tool 'terminal'. Parameters provided: ['command', 'security_rule']","[""promoted_process_failure"", ""tool_validation_error"", ""tve""]"
deepseek-v4-flash,diskcache__eviction_policy_core__hard3_001,python150,hard50,True,Composite,cache_retry_policy,resource_coupling,high,True,True,2,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,1.2375,1.2375,0.0,0,99,80,copy_heavy_pass,False,True,False,False,False,False,False,usage.json,40,41,2031810,48320,2080130,44610,92930,True,378.899021,"Error validating tool 'file_editor': Failed to provide security_risk field in tool 'file_editor'. Parameters provided: ['command', 'file_text', 'path', 'security_rule']","[""tool_validation_error"", ""tve""]"
deepseek-v4-flash,distlib__wheel_metadata_core__hard3_001,python150,hard50,True,Adapted,resource_metadata_loading,resource_coupling,high,True,True,1,True,True,functional_pass,failed,0b106842710368a497b49b7f6714e0dfea54778d1fb2dae38c93ea449b339542,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,2.633333,2.633333,0.037975,3,79,30,copy_heavy_pass,False,True,False,False,False,False,False,usage.json,39,37,1923802,48753,1972555,42970,91723,True,427.209336,"Error validating tool 'terminal': 1 validation error for TerminalAction
security_rule
  Extra inputs are not permitted [type=extra_forbidden, input_value='LOW', input_type=str]
    For further information visit https://errors.pydantic.dev/2","[""tool_validation_error"", ""tve""]"
deepseek-v4-flash,dynaconf__settings_merge_core__001,python150,core100,False,Adapted,config_resolve_discover,config_environment_coupling,high,True,True,110,True,True,functional_pass,failed,0b106842710368a497b49b7f6714e0dfea54778d1fb2dae38c93ea449b339542,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,2.141413,2.141413,0.992825,27122,27318,12757,copy_heavy_pass,False,True,False,False,False,True,False,usage.json,123,118,8975831,79768,9055599,173783,253551,True,700.31265,"Error validating tool 'terminal': 1 validation error for TerminalAction
security_ring
  Extra inputs are not permitted [type=extra_forbidden, input_value='LOW', input_type=str]
    For further information visit https://errors.pydantic.dev/2","[""tool_validation_error"", ""tve""]"
deepseek-v4-flash,email_validator__validate_core__001,python150,core100,False,Direct,parse_tokenize_decode,parser_state_coupling,high,True,True,6,True,True,functional_pass,passed,0b106842710368a497b49b7f6714e0dfea54778d1fb2dae38c93ea449b339542,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.967742,0.967742,0.990909,654,660,682,copy_heavy_pass,False,False,False,False,False,False,False,usage.json,33,41,1896267,29830,1926097,65483,95313,True,239.929299,passed,[]
deepseek-v4-flash,environs__typed_env_core__001,python150,core100,False,Direct,config_resolve_discover,config_environment_coupling,high,True,True,5,True,True,functional_pass,failed,0b106842710368a497b49b7f6714e0dfea54778d1fb2dae38c93ea449b339542,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.989717,0.989717,0.980519,755,770,778,copy_heavy_pass,False,True,False,False,False,False,False,usage.json,55,54,3497325,48953,3546278,59501,108454,True,393.670704,"Error validating tool 'terminal': 1 validation error for TerminalAction
security_rule
  Extra inputs are not permitted [type=extra_forbidden, input_value='LOW', input_type=str]
    For further information visit https://errors.pydantic.dev/2","[""tool_validation_error"", ""tve""]"
deepseek-v4-flash,faker__provider_core__001,python150,core100,False,Direct,resource_metadata_loading,resource_coupling,high,True,True,20,True,True,functional_pass,failed,0b106842710368a497b49b7f6714e0dfea54778d1fb2dae38c93ea449b339542,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.431371,0.431371,0.995968,6423,6449,14950,copy_heavy_pass,False,True,False,False,False,False,False,usage.json,66,64,4234330,41795,4276125,66266,108061,True,373.870745,"Error validating tool 'terminal': Failed to provide security_risk field in tool 'terminal'. Parameters provided: ['command', 'security_rule', 'summary']","[""tool_validation_error"", ""tve""]"
deepseek-v4-flash,filelock__reentrant_lock_core__001,python150,core100,False,Adapted,workflow_session_orchestration,resource_coupling,high,True,True,3,True,False,public_failure,failed,0b106842710368a497b49b7f6714e0dfea54778d1fb2dae38c93ea449b339542,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,False,True,True,6.967742,6.967742,0.175926,38,216,31,non_functional,True,True,False,False,False,False,False,usage.json,42,41,2609008,49985,2658993,53744,103729,True,375.906027,"Error validating tool 'terminal': 1 validation error for TerminalAction
security_rule
  Extra inputs are not permitted [type=extra_forbidden, input_value='LOW', input_type=str]
    For further information visit https://errors.pydantic.dev/2","[""tool_validation_error"", ""tve""]"
deepseek-v4-flash,flake8__plugin_options_core__hard3_001,python150,hard50,True,Composite,registry_plugin_dispatch,framework_coupling,high,True,True,1,True,False,public_failure,failed,0b106842710368a497b49b7f6714e0dfea54778d1fb2dae38c93ea449b339542,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,False,False,True,3.486842,3.486842,0.0,0,265,76,non_functional,True,True,False,False,False,True,False,usage.json,66,63,4549984,91604,4641588,124384,215988,True,737.173608,"Error validating tool 'terminal': 1 validation error for TerminalAction
security_style
  Extra inputs are not permitted [type=extra_forbidden, input_value='LOW', input_type=str]
    For further information visit https://errors.pydantic.dev/","[""tool_validation_error"", ""tve""]"
