task_id,verdict,source_kind,source_repo_id,source_snapshot_id,source_revision_kind,source_status,package_validation,contract,no_hint,full_repository,autonomous_workflow,v2_oracle_isolation,functional_metric,compactness,v2_freeze,difficulty_recalibration,legacy_repo_files,legacy_repo_python_files,legacy_repo_upstream_tests,required_api_count,behavior_count,blockers
python_multipart__form_parse_core__001,pass,external_oss,github__kludex__python_multipart,github__kludex__python_multipart__d9b56a41df65,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,114,20,3,7,8,
pyyaml__safe_load_dump__001,pass,external_oss,github__yaml__pyyaml,github__yaml__pyyaml__ef4ac31bcdcc,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,35,17,0,6,6,
readme_renderer__content_type_core__hard3_001,pass,external_oss,github__pypa__readme_renderer,github__pypa__readme_renderer__6d94d0128c4f,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,4,2,0,1,4,
redis__resp_parser_core__001,pass,external_oss,github__redis__redis_py,github__redis__redis_py__5a532a3c39e1,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,13,13,0,2,6,
referencing__json_schema_refs_core__001,pass,external_oss,github__python_jsonschema__referencing,github__python_jsonschema__referencing__1f0abc56e32e,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,16,13,5,4,5,
requests_cache__cache_key_core__hard3_001,pass,external_oss,github__requests_cache__requests_cache,github__requests_cache__requests_cache__c116dd5c841c,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,7,4,0,7,12,
responses__request_matcher_core__hard3_001,pass,external_oss,github__getsentry__responses,github__getsentry__responses__f5ae59453877,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,6,4,0,4,5,
returns__result_pipeline_core__hard3_001,pass,external_oss,github__dry_python__returns,github__dry_python__returns__885bf999e2df,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,4,2,0,4,4,
rfc3986__uri_parse_core__001,pass,external_oss,github__python_hyper__rfc3986,github__python_hyper__rfc3986__667bc45c9d13,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,19,19,0,5,5,
rich__markup_parse_core__001,pass,external_oss,github__textualize__rich,github__textualize__rich__76b5cd071400,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,80,78,0,3,5,
ruamel_yaml__roundtrip_core__001,pass,external_oss,source__sourceforge_net__a935d43b47a4,source__sourceforge_net__a935d43b47a4__608d9dbf5085,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,61,59,0,4,4,
schema__nested_validate_core__hard3_001,pass,external_oss,github__keleshev__schema,github__keleshev__schema__981d7e089474,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,3,1,0,5,4,
scrapy__item_loader_core__hard3_001,pass,external_oss,github__scrapy__scrapy,github__scrapy__scrapy__32a8a88ac60c,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,4,2,0,5,5,
setuptools_scm__version_normalize_core__hard3_001,pass,external_oss,github__pypa__setuptools_scm,github__pypa__setuptools_scm__3d1b8ef01b27,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,4,2,0,1,4,
sortedcontainers__sorted_list_core__001,pass,external_oss,github__grantjenks__python_sortedcontainers,github__grantjenks__python_sortedcontainers__a28aa11f1858,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,260,28,9,1,6,
sphinx__extension_registry_core__hard3_001,pass,external_oss,github__sphinx_doc__sphinx,github__sphinx_doc__sphinx__60f7a239569e,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,6,4,0,3,4,
sqlalchemy__event_dispatch_core__hard3_001,pass,external_oss,github__sqlalchemy__sqlalchemy,github__sqlalchemy__sqlalchemy__73ee4dfeb1da,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,7,5,0,4,6,
sqlparse__format_filters_core__001,pass,external_oss,github__andialbrecht__sqlparse,github__andialbrecht__sqlparse__7bd7593b3dbd,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,86,37,11,2,4,
sqlparse__parse_format_core__001,pass,external_oss,github__andialbrecht__sqlparse,github__andialbrecht__sqlparse__7bd7593b3dbd,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,86,37,11,7,6,
sqlparse__parse_split_core__001,pass,external_oss,github__andialbrecht__sqlparse,github__andialbrecht__sqlparse__7bd7593b3dbd,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,86,37,11,5,4,
sqlparse__token_tree_core__001,pass,external_oss,github__andialbrecht__sqlparse,github__andialbrecht__sqlparse__7bd7593b3dbd,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,86,37,11,4,6,
starlette__route_matching_core__hard3_001,pass,external_oss,github__encode__starlette,github__encode__starlette__6d2bfb8578e1,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,7,4,0,5,5,
stevedore__extension_manager_core__hard3_001,pass,external_oss,github__openstack__stevedore,github__openstack__stevedore__839bbf1a774f,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,8,5,0,8,10,
tabulate__table_format_core__001,pass,external_oss,github__astanin__python_tabulate,github__astanin__python_tabulate__ac7439e4e6c6,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,26,13,9,3,8,
tenacity__retry_state_core__hard3_001,pass,external_oss,github__jd__tenacity,github__jd__tenacity__b55c0e6d91cc,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,8,5,0,13,9,
tomlkit__roundtrip_document__001,pass,external_oss,github__python_poetry__tomlkit,github__python_poetry__tomlkit__b4d3e4a77252,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,80,25,9,11,8,
tox__factor_expression_core__hard3_001,pass,external_oss,github__tox_dev__tox,github__tox_dev__tox__81ed66625063,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,5,2,0,3,5,
trafaret__validation_rules_core__hard3_001,pass,external_oss,github__deepwalker__trafaret,github__deepwalker__trafaret__2ea93bdc50c6,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,8,6,0,8,4,
transitions__state_machine_core__hard3_001,pass,external_oss,github__pytransitions__transitions,github__pytransitions__transitions__95166dc4eec7,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,5,3,0,2,5,
typer__command_parser_core__001,pass,external_oss,github__fastapi__typer,github__fastapi__typer__83e7087f95e1,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,34,32,0,1,6,
urllib3__retry_backoff_core__001,pass,external_oss,github__urllib3__urllib3,github__urllib3__urllib3__7b3d85e01e1d,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,16,14,0,7,8,
vibe_app__csv_transform_core__001,pass,curated,local__vibe_app,local__vibe_app__2da8f7ab8fa6,curated,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,59,50,0,2,7,
vibe_app__orm_query_ast_core__001,pass,curated,local__vibe_app,local__vibe_app__2da8f7ab8fa6,curated,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,75,66,0,3,6,
vibe_app__plugin_registry_core__001,pass,curated,local__vibe_app,local__vibe_app__2da8f7ab8fa6,curated,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,75,66,0,4,6,
vibe_app__pricing_rules_core__001,pass,curated,local__vibe_app,local__vibe_app__2da8f7ab8fa6,curated,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,59,50,0,2,6,
vibe_app__rules_engine_core__001,pass,curated,local__vibe_app,local__vibe_app__2da8f7ab8fa6,curated,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,67,58,0,4,5,
vibe_app__session_registry_core__001,pass,curated,local__vibe_app,local__vibe_app__2da8f7ab8fa6,curated,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,67,58,0,2,5,
vibe_app__yaml_config_bootstrap__001,pass,curated,local__vibe_app,local__vibe_app__2da8f7ab8fa6,curated,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,59,50,0,4,5,
virtualenv__interpreter_spec_core__hard3_001,pass,external_oss,github__pypa__virtualenv,github__pypa__virtualenv__9a5e7c46d9cb,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,4,2,0,4,4,
voluptuous__schema_validate_core__001,pass,external_oss,github__alecthomas__voluptuous,github__alecthomas__voluptuous__bfa173f9f008,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,11,8,0,10,5,
websockets__handshake_parse_core__001,pass,external_oss,github__python_websockets__websockets,github__python_websockets__websockets__1c71295d05ff,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,52,48,0,10,8,
werkzeug__routing_core__001,pass,external_oss,github__pallets__werkzeug,github__pallets__werkzeug__5dfbd7817e00,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,120,52,0,2,6,
wheel__metadata_normalize_core__hard3_001,pass,external_oss,github__pypa__wheel,github__pypa__wheel__39d64ea4597b,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,5,2,0,6,4,
wsproto__frame_parse_core__001,pass,external_oss,github__python_hyper__wsproto,github__python_hyper__wsproto__1cf5c7095c49,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,22,19,0,1,5,
xmltodict__xml_parse_core__001,pass,external_oss,github__martinblech__xmltodict,github__martinblech__xmltodict__a3d8ab67d4af,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,6,4,2,3,7,
yamale__schema_validate_core__hard3_001,pass,external_oss,github__23andme__yamale,github__23andme__yamale__db8654ca554b,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,15,13,0,4,5,
yarl__url_model_core__001,pass,external_oss,github__aio_libs__yarl,github__aio_libs__yarl__dae78c0d8fc6,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,126,34,30,7,7,
