task_id,split,source_repo,source_commit,source_group_id,repo_archetype_primary,repo_archetype_secondary,repo_provenance,repo_domain_primary,repo_domain_secondary,feature_family_primary,feature_family_secondary,feature_statefulness,entanglement_primary_original,entanglement_types_original,normalized_entanglement_types,behavioral_risk_tags,codebase_condition_tags,reference_file_count,reference_symbol_count,reference_loc,source_entrypoint_count,direct_internal_dependency_count,transitive_internal_dependency_count,external_dependency_count,static_file_closure_depth,resource_file_count,has_dynamic_import,has_global_state,has_registry,has_framework_lifecycle,adapter_required,public_test_count,hidden_test_count,classification_evidence,classification_confidence,review_status,taxonomy_version
distlib__wheel_metadata_core__hard3_001,hard50,distlib,454a87c64f0b545138dc4798aa833a4ff8ac2377,distlib,developer_tooling,,real_oss_mature,packaging,,resource_metadata_loading,,stateless,resource_coupling,data_model_coupling;resource_coupling,data_model_invariant;dynamic_import_plugin;resource_packaging;static_transitive_dependency,boundary_cases,,3,4,3029,2,1,0,3,1,0,true,true,true,false,NA,1,4,benchmark/tasks/distlib__wheel_metadata_core__hard3_001/metadata.json;benchmark/tasks/distlib__wheel_metadata_core__hard3_001/evaluation/oracle_manifest.json;benchmark/tasks/distlib__wheel_metadata_core__hard3_001/public_tests/test_public_contract.py;benchmark/tasks/distlib__wheel_metadata_core__hard3_001/hidden_tests/test_hidden_contract.py;benchmark/tasks/distlib__wheel_metadata_core__hard3_001/repo/distlib/resources.py;benchmark/tasks/distlib__wheel_metadata_core__hard3_001/repo/distlib/util.py;benchmark/tasks/distlib__wheel_metadata_core__hard3_001/repo/distlib/wheel.py,high,reviewed_v1,v1
dynaconf__settings_merge_core__001,core100,dynaconf,3.3.1-installed-snapshot,dynaconf,library,,real_oss_mature,configuration,,config_resolve_discover,,lifecycle_state,config_environment_coupling,config_environment_coupling;data_model_coupling;framework_coupling,config_environment;data_model_invariant;dynamic_import_plugin;framework_lifecycle;static_transitive_dependency,boundary_cases;platform_variation,,NA,NA,NA,5,24,71,16,5,NA,true,true,true,true,NA,2,4,benchmark/tasks/dynaconf__settings_merge_core__001/metadata.json;benchmark/tasks/dynaconf__settings_merge_core__001/evaluation/oracle_manifest.json;benchmark/tasks/dynaconf__settings_merge_core__001/public_tests/test_public_api.py;benchmark/tasks/dynaconf__settings_merge_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/dynaconf__settings_merge_core__001/repo/dynaconf/__init__.py;benchmark/tasks/dynaconf__settings_merge_core__001/repo/dynaconf/base.py;benchmark/tasks/dynaconf__settings_merge_core__001/repo/dynaconf/contrib/django_dynaconf_v2.py,high,reviewed_v1,v1
email_validator__validate_core__001,core100,email-validator,b73d010bb3db70547199f39fd85d2286a7f6f476,email_validator,library,,real_oss_mature,parsing,,parse_tokenize_decode,,local_state,parser_state_coupling,data_model_coupling;parser_state_coupling;third_party_dependency_coupling,data_model_invariant;parser_state;static_transitive_dependency;third_party_contract,boundary_cases;exception_semantics,,5,NA,1068,6,4,0,2,0,0,false,false,true,false,NA,4,10,benchmark/tasks/email_validator__validate_core__001/metadata.json;benchmark/tasks/email_validator__validate_core__001/evaluation/oracle_manifest.json;benchmark/tasks/email_validator__validate_core__001/public_tests/test_public_api.py;benchmark/tasks/email_validator__validate_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/email_validator__validate_core__001/repo/email_validator/exceptions.py;benchmark/tasks/email_validator__validate_core__001/repo/email_validator/rfc_constants.py;benchmark/tasks/email_validator__validate_core__001/repo/email_validator/syntax.py,high,reviewed_v1,v1
environs__typed_env_core__001,core100,environs,97f9b7065c753b763949a8d61ec2fee880458d4a,environs,library,,real_oss_mature,configuration,,config_resolve_discover,,stateless,config_environment_coupling,config_environment_coupling;data_model_coupling;third_party_dependency_coupling,config_environment;data_model_invariant;static_transitive_dependency;third_party_contract,boundary_cases;exception_semantics;lifecycle_semantics;platform_variation,,4,NA,918,11,3,0,7,1,0,false,false,true,false,NA,4,9,benchmark/tasks/environs__typed_env_core__001/metadata.json;benchmark/tasks/environs__typed_env_core__001/evaluation/oracle_manifest.json;benchmark/tasks/environs__typed_env_core__001/public_tests/test_public_api.py;benchmark/tasks/environs__typed_env_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/environs__typed_env_core__001/repo/src/environs/__init__.py;benchmark/tasks/environs__typed_env_core__001/repo/src/environs/fields.py,high,reviewed_v1,v1
faker__provider_core__001,core100,Faker,40.23.0-installed-snapshot,faker,library,,real_oss_mature,general_utility,,resource_metadata_loading,,global_state,resource_coupling,global_state_registry_coupling;implicit_dependency_coupling;resource_coupling,dynamic_import_plugin;global_state_registry;implicit_runtime_dependency;resource_packaging;static_transitive_dependency,boundary_cases;ordering_semantics,weak_module_boundaries,24,NA,15045,5,10,4,0,3,0,true,true,true,false,NA,1,2,benchmark/tasks/faker__provider_core__001/metadata.json;benchmark/tasks/faker__provider_core__001/evaluation/oracle_manifest.json;benchmark/tasks/faker__provider_core__001/public_tests/test_public_api.py;benchmark/tasks/faker__provider_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/faker__provider_core__001/repo/faker/config.py;benchmark/tasks/faker__provider_core__001/repo/faker/factory.py;benchmark/tasks/faker__provider_core__001/repo/faker/providers/address/en_US/__init__.py,high,reviewed_v1,v1
flake8__plugin_options_core__hard3_001,hard50,flake8,bb943328eff3518ee193adbddffdfe15e239c3f7,flake8,developer_tooling,,real_oss_mature,general_utility,,registry_plugin_dispatch,,lifecycle_state,framework_coupling,config_environment_coupling;framework_coupling,config_environment;dynamic_import_plugin;framework_lifecycle;static_transitive_dependency,,,2,4,566,2,1,0,0,0,0,true,true,true,true,NA,2,1,benchmark/tasks/flake8__plugin_options_core__hard3_001/metadata.json;benchmark/tasks/flake8__plugin_options_core__hard3_001/evaluation/oracle_manifest.json;benchmark/tasks/flake8__plugin_options_core__hard3_001/public_tests/test_public_contract.py;benchmark/tasks/flake8__plugin_options_core__hard3_001/hidden_tests/test_hidden_contract.py;benchmark/tasks/flake8__plugin_options_core__hard3_001/repo/src/flake8/options/manager.py;benchmark/tasks/flake8__plugin_options_core__hard3_001/repo/src/flake8/plugins/finder.py,high,reviewed_v1,v1
fs__url_opener_core__hard3_001,hard50,fs,77a8562785fc37cb2e30bdcd39c133097ba62dce,fs,library,,real_oss_mature,general_utility,,registry_plugin_dispatch,,lifecycle_state,resource_coupling,implicit_dependency_coupling;resource_coupling,dynamic_import_plugin;implicit_runtime_dependency;resource_packaging;static_transitive_dependency,boundary_cases;exception_semantics;lifecycle_semantics,,2,2,313,2,1,0,3,1,0,true,true,true,false,NA,1,3,benchmark/tasks/fs__url_opener_core__hard3_001/metadata.json;benchmark/tasks/fs__url_opener_core__hard3_001/evaluation/oracle_manifest.json;benchmark/tasks/fs__url_opener_core__hard3_001/public_tests/test_public_contract.py;benchmark/tasks/fs__url_opener_core__hard3_001/hidden_tests/test_hidden_contract.py;benchmark/tasks/fs__url_opener_core__hard3_001/repo/fs/opener/parse.py;benchmark/tasks/fs__url_opener_core__hard3_001/repo/fs/opener/registry.py,medium,ai_assisted_reviewed_v1,v1
fsspec__url_chain_core__hard3_001,hard50,fsspec,0907962e6b94eea3b4ba86a6cc20b36ddb29f2dd,fsspec,library,,real_oss_mature,general_utility,,config_resolve_discover,,stateless,resource_coupling,implicit_dependency_coupling;resource_coupling,dynamic_import_plugin;implicit_runtime_dependency;resource_packaging;static_transitive_dependency,boundary_cases;exception_semantics,,2,2,968,1,1,0,1,1,0,true,true,true,false,NA,1,3,benchmark/tasks/fsspec__url_chain_core__hard3_001/metadata.json;benchmark/tasks/fsspec__url_chain_core__hard3_001/evaluation/oracle_manifest.json;benchmark/tasks/fsspec__url_chain_core__hard3_001/public_tests/test_public_contract.py;benchmark/tasks/fsspec__url_chain_core__hard3_001/hidden_tests/test_hidden_contract.py;benchmark/tasks/fsspec__url_chain_core__hard3_001/repo/fsspec/core.py;benchmark/tasks/fsspec__url_chain_core__hard3_001/repo/fsspec/registry.py,high,reviewed_v1,v1
glom__spec_eval_core__hard3_001,hard50,glom,6fd41340f30519ddc64a546ad2703dfe53f12356,glom,library,,real_oss_mature,general_utility,,algorithm_data_structure,,local_state,parser_state_coupling,data_model_coupling;parser_state_coupling,data_model_invariant;parser_state;static_transitive_dependency,boundary_cases;exception_semantics,,2,4,2160,3,0,0,2,0,0,false,false,false,false,NA,1,2,benchmark/tasks/glom__spec_eval_core__hard3_001/metadata.json;benchmark/tasks/glom__spec_eval_core__hard3_001/evaluation/oracle_manifest.json;benchmark/tasks/glom__spec_eval_core__hard3_001/public_tests/test_public_contract.py;benchmark/tasks/glom__spec_eval_core__hard3_001/hidden_tests/test_hidden_contract.py;benchmark/tasks/glom__spec_eval_core__hard3_001/repo/glom/core.py,medium,ai_assisted_reviewed_v1,v1
h11__message_parse_core__001,core100,h11,0.14.0-installed-snapshot,h11,library,,real_oss_mature,networking,,protocol_state_transition,parse_tokenize_decode,session_state,parser_state_coupling,data_model_coupling;implicit_dependency_coupling;parser_state_coupling,data_model_invariant;implicit_runtime_dependency;parser_state;static_transitive_dependency,boundary_cases;mutation_side_effects,weak_module_boundaries,11,NA,2144,5,8,0,1,1,0,false,true,false,true,NA,2,2,benchmark/tasks/h11__message_parse_core__001/metadata.json;benchmark/tasks/h11__message_parse_core__001/evaluation/oracle_manifest.json;benchmark/tasks/h11__message_parse_core__001/public_tests/test_public_api.py;benchmark/tasks/h11__message_parse_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/h11__message_parse_core__001/repo/h11/_connection.py;benchmark/tasks/h11__message_parse_core__001/repo/h11/_events.py;benchmark/tasks/h11__message_parse_core__001/repo/h11/_state.py,high,reviewed_v1,v1
h2__frame_parse_core__001,core100,h2,4.3.0-installed-snapshot,h2,library,,real_oss_mature,networking,,protocol_state_transition,parse_tokenize_decode,session_state,parser_state_coupling,data_model_coupling;implicit_dependency_coupling;parser_state_coupling,data_model_invariant;implicit_runtime_dependency;parser_state;static_transitive_dependency,boundary_cases;exception_semantics;ordering_semantics,,NA,NA,NA,3,4,1,0,2,NA,false,false,true,false,NA,2,4,benchmark/tasks/h2__frame_parse_core__001/metadata.json;benchmark/tasks/h2__frame_parse_core__001/evaluation/oracle_manifest.json;benchmark/tasks/h2__frame_parse_core__001/public_tests/test_public_api.py;benchmark/tasks/h2__frame_parse_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/h2__frame_parse_core__001/repo/h2/frame_buffer.py;benchmark/tasks/h2__frame_parse_core__001/repo/hyperframe/frame.py,high,reviewed_v1,v1
hatch__project_metadata_core__hard3_001,hard50,hatch,19ced89249f2249772eed4566bd40d72e25d77ec,hatch,developer_tooling,,real_oss_mature,packaging,,resource_metadata_loading,,stateless,data_model_coupling,config_environment_coupling;data_model_coupling,config_environment;data_model_invariant;dynamic_import_plugin,exception_semantics,,1,2,1360,1,0,0,4,0,0,true,false,true,false,NA,1,3,benchmark/tasks/hatch__project_metadata_core__hard3_001/metadata.json;benchmark/tasks/hatch__project_metadata_core__hard3_001/evaluation/oracle_manifest.json;benchmark/tasks/hatch__project_metadata_core__hard3_001/public_tests/test_public_contract.py;benchmark/tasks/hatch__project_metadata_core__hard3_001/hidden_tests/test_hidden_contract.py;benchmark/tasks/hatch__project_metadata_core__hard3_001/repo/backend/src/hatchling/metadata/core.py,high,reviewed_v1,v1
httpx__request_model_core__001,core100,httpx,326b9431c761e1ef1e00b9f760d1f654c8db48c6,httpx,library,,real_oss_mature,networking,,validate_normalize_construct,,stateless,data_model_coupling,config_environment_coupling;data_model_coupling;implicit_dependency_coupling;parser_state_coupling,config_environment;data_model_invariant;implicit_runtime_dependency;parser_state;static_transitive_dependency,boundary_cases;exception_semantics;lifecycle_semantics;ordering_semantics,weak_module_boundaries,8,NA,3115,10,8,0,4,1,0,false,false,true,false,NA,5,8,benchmark/tasks/httpx__request_model_core__001/metadata.json;benchmark/tasks/httpx__request_model_core__001/evaluation/oracle_manifest.json;benchmark/tasks/httpx__request_model_core__001/public_tests/test_public_api.py;benchmark/tasks/httpx__request_model_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/httpx__request_model_core__001/repo/httpx/__init__.py;benchmark/tasks/httpx__request_model_core__001/repo/httpx/_client.py;benchmark/tasks/httpx__request_model_core__001/repo/httpx/_models.py,high,reviewed_v1,v1
humanize__naturaltime_core__001,core100,humanize,4.15.0-installed-snapshot,humanize,library,,real_oss_mature,general_utility,,serialize_format_render,,local_state,data_model_coupling,data_model_coupling;implicit_dependency_coupling,data_model_invariant;implicit_runtime_dependency;static_transitive_dependency,boundary_cases,weak_module_boundaries,4,NA,1183,5,2,0,0,1,0,false,false,false,true,NA,3,6,benchmark/tasks/humanize__naturaltime_core__001/metadata.json;benchmark/tasks/humanize__naturaltime_core__001/evaluation/oracle_manifest.json;benchmark/tasks/humanize__naturaltime_core__001/public_tests/test_public_api.py;benchmark/tasks/humanize__naturaltime_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/humanize__naturaltime_core__001/repo/humanize/time.py,high,reviewed_v1,v1
importlib_metadata__entry_points_core__001,core100,importlib_metadata,7.0.1-installed-snapshot,importlib_metadata,library,,real_oss_mature,packaging,,resource_metadata_loading,registry_plugin_dispatch,stateless,config_environment_coupling,config_environment_coupling;data_model_coupling;implicit_dependency_coupling;third_party_dependency_coupling,config_environment;data_model_invariant;dynamic_import_plugin;implicit_runtime_dependency;static_transitive_dependency;third_party_contract,boundary_cases,,NA,NA,NA,5,8,3,1,2,NA,true,false,true,false,NA,2,1,benchmark/tasks/importlib_metadata__entry_points_core__001/metadata.json;benchmark/tasks/importlib_metadata__entry_points_core__001/evaluation/oracle_manifest.json;benchmark/tasks/importlib_metadata__entry_points_core__001/public_tests/test_public_api.py;benchmark/tasks/importlib_metadata__entry_points_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/importlib_metadata__entry_points_core__001/repo/importlib_metadata/__init__.py;benchmark/tasks/importlib_metadata__entry_points_core__001/repo/importlib_metadata/_py39compat.py,high,reviewed_v1,v1
importlib_resources__traversable_tree_core__hard3_001,hard50,importlib_resources,1d554758b0cb1a030bf3acb131a276da8a3ebb1e,importlib_resources,library,,real_oss_mature,packaging,,resource_metadata_loading,,stateless,resource_coupling,data_model_coupling;implicit_dependency_coupling;resource_coupling,data_model_invariant;dynamic_import_plugin;implicit_runtime_dependency;resource_packaging;static_transitive_dependency,boundary_cases;exception_semantics;mutation_side_effects,weak_module_boundaries,7,6,643,4,3,0,0,1,1,true,false,true,false,NA,2,5,benchmark/tasks/importlib_resources__traversable_tree_core__hard3_001/metadata.json;benchmark/tasks/importlib_resources__traversable_tree_core__hard3_001/evaluation/oracle_manifest.json;benchmark/tasks/importlib_resources__traversable_tree_core__hard3_001/public_tests/test_public_contract.py;benchmark/tasks/importlib_resources__traversable_tree_core__hard3_001/hidden_tests/test_hidden_contract.py;benchmark/tasks/importlib_resources__traversable_tree_core__hard3_001/repo/importlib_resources/_common.py;benchmark/tasks/importlib_resources__traversable_tree_core__hard3_001/repo/importlib_resources/_functional.py;benchmark/tasks/importlib_resources__traversable_tree_core__hard3_001/repo/importlib_resources/abc.py,high,reviewed_v1,v1
installer__wheel_record_core__hard3_001,hard50,installer,c18863d235a9d927f48d1831cbf738b0274ac59e,installer,developer_tooling,,real_oss_mature,packaging,,resource_metadata_loading,,stateless,resource_coupling,data_model_coupling;resource_coupling,data_model_invariant;resource_packaging;static_transitive_dependency,exception_semantics,,2,3,301,1,0,0,1,0,0,false,false,true,false,NA,1,3,benchmark/tasks/installer__wheel_record_core__hard3_001/metadata.json;benchmark/tasks/installer__wheel_record_core__hard3_001/evaluation/oracle_manifest.json;benchmark/tasks/installer__wheel_record_core__hard3_001/public_tests/test_public_contract.py;benchmark/tasks/installer__wheel_record_core__hard3_001/hidden_tests/test_hidden_contract.py;benchmark/tasks/installer__wheel_record_core__hard3_001/repo/src/installer/records.py,high,reviewed_v1,v1
intervaltree__interval_tree_core__001,core100,intervaltree,1bc406e1f441577c4e421fc51aba2ab67fbd97fb,intervaltree,library,,real_oss_mature,general_utility,,algorithm_data_structure,,local_state,data_model_coupling,data_model_coupling;implicit_dependency_coupling;third_party_dependency_coupling,data_model_invariant;implicit_runtime_dependency;static_transitive_dependency;third_party_contract,boundary_cases;mutation_side_effects;ordering_semantics,weak_module_boundaries,3,NA,1893,13,3,0,1,0,0,false,false,false,false,NA,3,8,benchmark/tasks/intervaltree__interval_tree_core__001/metadata.json;benchmark/tasks/intervaltree__interval_tree_core__001/evaluation/oracle_manifest.json;benchmark/tasks/intervaltree__interval_tree_core__001/public_tests/test_public_api.py;benchmark/tasks/intervaltree__interval_tree_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/intervaltree__interval_tree_core__001/repo/intervaltree/__init__.py;benchmark/tasks/intervaltree__interval_tree_core__001/repo/intervaltree/interval.py;benchmark/tasks/intervaltree__interval_tree_core__001/repo/intervaltree/intervaltree.py,high,reviewed_v1,v1
isodate__duration_parse_core__001,core100,isodate,0.7.2-installed-snapshot,isodate,library,,real_oss_mature,parsing,,parse_tokenize_decode,serialize_format_render,local_state,parser_state_coupling,data_model_coupling;parser_state_coupling,data_model_invariant;parser_state;static_transitive_dependency,boundary_cases;exception_semantics;lifecycle_semantics,,9,NA,1155,3,4,4,0,3,0,false,true,false,false,NA,3,6,benchmark/tasks/isodate__duration_parse_core__001/metadata.json;benchmark/tasks/isodate__duration_parse_core__001/evaluation/oracle_manifest.json;benchmark/tasks/isodate__duration_parse_core__001/public_tests/test_public_api.py;benchmark/tasks/isodate__duration_parse_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/isodate__duration_parse_core__001/repo/isodate/duration.py;benchmark/tasks/isodate__duration_parse_core__001/repo/isodate/isodates.py;benchmark/tasks/isodate__duration_parse_core__001/repo/isodate/isoduration.py,high,reviewed_v1,v1
isort__settings_resolver_core__hard3_001,hard50,isort,fd8bd075176d074af69aa6acae7ed89a6a89bb05,isort,developer_tooling,,real_oss_mature,configuration,,config_resolve_discover,,stateless,config_environment_coupling,config_environment_coupling;implicit_dependency_coupling;resource_coupling,config_environment;dynamic_import_plugin;implicit_runtime_dependency;resource_packaging;static_transitive_dependency,exception_semantics;lifecycle_semantics,weak_module_boundaries,6,7,1068,5,2,0,1,1,2,true,true,true,true,NA,3,5,benchmark/tasks/isort__settings_resolver_core__hard3_001/metadata.json;benchmark/tasks/isort__settings_resolver_core__hard3_001/evaluation/oracle_manifest.json;benchmark/tasks/isort__settings_resolver_core__hard3_001/public_tests/test_public_contract.py;benchmark/tasks/isort__settings_resolver_core__hard3_001/hidden_tests/test_hidden_contract.py;benchmark/tasks/isort__settings_resolver_core__hard3_001/repo/isort/profiles.py;benchmark/tasks/isort__settings_resolver_core__hard3_001/repo/isort/settings.py,high,reviewed_v1,v1
jinja2__compile_render_core__001,core100,jinja2,15206881c006c79667fe5154fe80c01c65410679,jinja2,framework_plugin,,real_oss_mature,parsing,general_utility,serialize_format_render,,lifecycle_state,framework_coupling,data_model_coupling;framework_coupling;parser_state_coupling,data_model_invariant;dynamic_import_plugin;framework_lifecycle;parser_state;static_transitive_dependency,boundary_cases,,17,NA,9330,5,13,4,2,2,0,true,true,true,true,NA,2,3,benchmark/tasks/jinja2__compile_render_core__001/metadata.json;benchmark/tasks/jinja2__compile_render_core__001/evaluation/oracle_manifest.json;benchmark/tasks/jinja2__compile_render_core__001/public_tests/test_public_api.py;benchmark/tasks/jinja2__compile_render_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/jinja2__compile_render_core__001/repo/src/jinja2/compiler.py;benchmark/tasks/jinja2__compile_render_core__001/repo/src/jinja2/environment.py;benchmark/tasks/jinja2__compile_render_core__001/repo/src/jinja2/lexer.py,high,reviewed_v1,v1
jinja2__extensions_core__001,core100,jinja2,15206881c006c79667fe5154fe80c01c65410679,jinja2,framework_plugin,,real_oss_mature,parsing,general_utility,registry_plugin_dispatch,,lifecycle_state,framework_coupling,framework_coupling;implicit_dependency_coupling;parser_state_coupling,dynamic_import_plugin;framework_lifecycle;implicit_runtime_dependency;parser_state;static_transitive_dependency,boundary_cases;mutation_side_effects;ordering_semantics,weak_module_boundaries,18,NA,10051,3,10,8,2,2,0,true,true,true,true,NA,2,3,benchmark/tasks/jinja2__extensions_core__001/metadata.json;benchmark/tasks/jinja2__extensions_core__001/evaluation/oracle_manifest.json;benchmark/tasks/jinja2__extensions_core__001/public_tests/test_public_api.py;benchmark/tasks/jinja2__extensions_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/jinja2__extensions_core__001/repo/src/jinja2/compiler.py;benchmark/tasks/jinja2__extensions_core__001/repo/src/jinja2/environment.py;benchmark/tasks/jinja2__extensions_core__001/repo/src/jinja2/ext.py,high,reviewed_v1,v1
jinja2__filters_tests_core__001,core100,jinja2,15206881c006c79667fe5154fe80c01c65410679,jinja2,framework_plugin,,real_oss_mature,parsing,general_utility,serialize_format_render,registry_plugin_dispatch,local_state,framework_coupling,data_model_coupling;framework_coupling;implicit_dependency_coupling,data_model_invariant;framework_lifecycle;implicit_runtime_dependency;static_transitive_dependency,boundary_cases,weak_module_boundaries,5,NA,3899,4,3,0,2,1,0,false,false,true,true,NA,2,4,benchmark/tasks/jinja2__filters_tests_core__001/metadata.json;benchmark/tasks/jinja2__filters_tests_core__001/evaluation/oracle_manifest.json;benchmark/tasks/jinja2__filters_tests_core__001/public_tests/test_public_api.py;benchmark/tasks/jinja2__filters_tests_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/jinja2__filters_tests_core__001/repo/src/jinja2/environment.py;benchmark/tasks/jinja2__filters_tests_core__001/repo/src/jinja2/filters.py;benchmark/tasks/jinja2__filters_tests_core__001/repo/src/jinja2/runtime.py,medium,ai_assisted_reviewed_v1,v1
jinja2__lexer_parser_core__001,core100,jinja2,15206881c006c79667fe5154fe80c01c65410679,jinja2,framework_plugin,,real_oss_mature,parsing,general_utility,parse_tokenize_decode,,local_state,parser_state_coupling,data_model_coupling;implicit_dependency_coupling;parser_state_coupling,data_model_invariant;dynamic_import_plugin;implicit_runtime_dependency;parser_state;static_transitive_dependency,boundary_cases,weak_module_boundaries,8,NA,4708,6,7,1,2,2,0,true,true,true,false,NA,2,3,benchmark/tasks/jinja2__lexer_parser_core__001/metadata.json;benchmark/tasks/jinja2__lexer_parser_core__001/evaluation/oracle_manifest.json;benchmark/tasks/jinja2__lexer_parser_core__001/public_tests/test_public_api.py;benchmark/tasks/jinja2__lexer_parser_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/jinja2__lexer_parser_core__001/repo/src/jinja2/environment.py;benchmark/tasks/jinja2__lexer_parser_core__001/repo/src/jinja2/lexer.py;benchmark/tasks/jinja2__lexer_parser_core__001/repo/src/jinja2/nodes.py,high,reviewed_v1,v1
jinja2__loader_inheritance_core__001,core100,jinja2,15206881c006c79667fe5154fe80c01c65410679,jinja2,framework_plugin,,real_oss_mature,parsing,general_utility,resource_metadata_loading,serialize_format_render,lifecycle_state,framework_coupling,data_model_coupling;framework_coupling;resource_coupling,data_model_invariant;dynamic_import_plugin;framework_lifecycle;resource_packaging;static_transitive_dependency,boundary_cases;exception_semantics,,7,NA,7074,4,7,0,2,1,0,true,true,true,true,NA,1,3,benchmark/tasks/jinja2__loader_inheritance_core__001/metadata.json;benchmark/tasks/jinja2__loader_inheritance_core__001/evaluation/oracle_manifest.json;benchmark/tasks/jinja2__loader_inheritance_core__001/public_tests/test_public_api.py;benchmark/tasks/jinja2__loader_inheritance_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/jinja2__loader_inheritance_core__001/repo/src/jinja2/compiler.py;benchmark/tasks/jinja2__loader_inheritance_core__001/repo/src/jinja2/environment.py;benchmark/tasks/jinja2__loader_inheritance_core__001/repo/src/jinja2/lexer.py,high,reviewed_v1,v1
json5__parse_core__001,core100,json5,0.9.25-installed-snapshot,json5,library,,real_oss_mature,parsing,,parse_tokenize_decode,,local_state,parser_state_coupling,implicit_dependency_coupling;parser_state_coupling,implicit_runtime_dependency;parser_state;static_transitive_dependency,boundary_cases;exception_semantics,weak_module_boundaries,4,NA,1186,3,1,0,0,0,0,false,true,false,false,NA,2,3,benchmark/tasks/json5__parse_core__001/metadata.json;benchmark/tasks/json5__parse_core__001/evaluation/oracle_manifest.json;benchmark/tasks/json5__parse_core__001/public_tests/test_public_api.py;benchmark/tasks/json5__parse_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/json5__parse_core__001/repo/json5/lib.py;benchmark/tasks/json5__parse_core__001/repo/json5/parser.py,high,reviewed_v1,v1
json_logic__evaluator_core__hard3_001,hard50,json_logic,5fda9125eab4178f8f81c7779291940e31e87bab,json_logic,library,,real_oss_mature,general_utility,,cache_retry_policy,,stateless,parser_state_coupling,data_model_coupling;parser_state_coupling,data_model_invariant;parser_state,boundary_cases,,1,1,166,1,0,0,1,0,0,false,false,false,false,NA,3,3,benchmark/tasks/json_logic__evaluator_core__hard3_001/metadata.json;benchmark/tasks/json_logic__evaluator_core__hard3_001/evaluation/oracle_manifest.json;benchmark/tasks/json_logic__evaluator_core__hard3_001/public_tests/test_public_contract.py;benchmark/tasks/json_logic__evaluator_core__hard3_001/hidden_tests/test_hidden_contract.py;benchmark/tasks/json_logic__evaluator_core__hard3_001/repo/json_logic/__init__.py,high,reviewed_v1,v1
jsonpath_ng__expression_eval_core__001,core100,jsonpath-ng,e59ead334ac47618e6d844ad758114b3bfafcc8a,jsonpath_ng,library,,real_oss_mature,parsing,,parse_tokenize_decode,,local_state,parser_state_coupling,data_model_coupling;implicit_dependency_coupling;parser_state_coupling,data_model_invariant;implicit_runtime_dependency;parser_state;static_transitive_dependency,boundary_cases;exception_semantics;mutation_side_effects,weak_module_boundaries,9,NA,1545,5,8,0,0,1,0,false,false,false,false,NA,4,6,benchmark/tasks/jsonpath_ng__expression_eval_core__001/metadata.json;benchmark/tasks/jsonpath_ng__expression_eval_core__001/evaluation/oracle_manifest.json;benchmark/tasks/jsonpath_ng__expression_eval_core__001/public_tests/test_public_api.py;benchmark/tasks/jsonpath_ng__expression_eval_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/jsonpath_ng__expression_eval_core__001/repo/jsonpath_ng/ext/parser.py;benchmark/tasks/jsonpath_ng__expression_eval_core__001/repo/jsonpath_ng/jsonpath.py;benchmark/tasks/jsonpath_ng__expression_eval_core__001/repo/jsonpath_ng/lexer.py,high,reviewed_v1,v1
jsonpointer__resolve_core__001,core100,jsonpointer,5998f951dcc5ace60f67f35afe6778c445401a07,jsonpointer,library,,real_oss_mature,parsing,,parse_tokenize_decode,,local_state,parser_state_coupling,data_model_coupling;parser_state_coupling,data_model_invariant;parser_state,boundary_cases;exception_semantics;mutation_side_effects,,1,NA,249,5,0,0,0,0,0,false,false,false,false,NA,5,9,benchmark/tasks/jsonpointer__resolve_core__001/metadata.json;benchmark/tasks/jsonpointer__resolve_core__001/evaluation/oracle_manifest.json;benchmark/tasks/jsonpointer__resolve_core__001/public_tests/test_public_api.py;benchmark/tasks/jsonpointer__resolve_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/jsonpointer__resolve_core__001/repo/jsonpointer.py,high,reviewed_v1,v1
